cod_agrupacion_int,cod_agrupacion,nom_agrupacion
"0005","0005",DEMOCRATA CRISTIANO
"0013","0013",MOVIMIENTO AL SOCIALISMO
"0020","0020",UNION DEL CENTRO DEMOCRATICO
"0023","0023",UNION POPULAR FEDERAL
"0036","0036",AUTONOMISTA
"0040","0040",MOVIMIENTO LIBRES DEL SUR
"0041","0041",LIBRES DEL SUR
"0057","0057",MOVIMIENTO DE ACCION VECINAL
"0065","0065",UNION CELESTE Y BLANCO
"0068","0068",NUEVA IZQUIERDA
"0069","0069",GEN
"0071","0071",DEL OBRERO
"0077","0077",FE
"0079","0079",RENOVADOR FEDERAL
"0082","0082",COMPROMISO FEDERAL
"0085","0085",DEMOCRATA
"0086","0086",FRENTE RENOVADOR
"0087","0087",UNITE POR LA LIBERTAD Y LA DIGNIDAD
"0088","0088",ENCUENTRO REPUBLICANO FEDERAL
"0090","0090",MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
"0092","0092",POLITICA OBRERA
"0094","0094",PROYECTO JOVEN
"0095","0095",FRENTE PATRIOTA FEDERAL
"0131","0131",FRENTE LIBER.AR
"0132","0132",JUNTOS POR EL CAMBIO
"0133","0133",HACEMOS POR NUESTRO PAIS
"0134","0134",UNION POR LA PATRIA
"0135","0135",LA LIBERTAD AVANZA
"0136","0136",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0137","0137",PRINCIPIOS Y VALORES
"0151","0151",MOVIMIENTO POPULAR NEUQUINO
"0153","0153",CRUZADA RENOVADORA
"0167","0167",SOMOS FUEGUINOS
"0177","0177",UNIÓN Y LIBERTAD
"0178","0178",MOVIMIENTO INDEPENDIENTE RENOVADOR
"0180","0180",PARTIDO SOCIALISTA
"0181","0181",FUERZA LIBERAL
"0182","0182",FUERZA REPUBLICANA
"0184","0184",AGRARIO Y SOCIAL
"0185","0185",LIBRES DEL SUR
"0186","0186",PARTIDO POPULAR
"0187","0187",LA LIBERTAD AVANZA
"0188","0188",PROYECTO JOVEN
"0191","0191",POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL
"0193","0193",ARRIBA NEUQUEN
"0194","0194",MOV. VECINAL DEL PDO DE TRES ARROYOS
"0198","0198",POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL (PAIS)
"0201","0201",FRENTE INTEGRADOR
"0208","0208",MOVIMIENTO LIBRES DEL SUR
"0210","0210",MOVIMIENTO INTEGRACION LATINOAMERICANA DE EXPRESION SOCIAL
"0211","0211",LEALTAD Y DIGNIDAD
"0212","0212",LABORISTA
"0213","0213",REPUBLICANOS UNIDOS
"0215","0215",POLITICA OBRERA
"0216","0216",FRENTE FEDERAL DE ACCION SOLIDARIA
"0218","0218",TRES BANDERAS
"0220","0220",MOVIMIENTO DE INTEGRACION FEDERAL (MIF)
"0221","0221","MILES POR TIERRA, TECHO Y TRABAJO"
"0223","0223",LIBERTARIO
"0229","0229",HUMANISTA
"0230","0230",SI - SALTA INDEPENDIENTE
"0231","0231",AHORA PATRIA
"0237","0237",LA NUEVA INDEPENDENCIA
"0238","0238",MOVIMIENTO AVANZADA SOCIALISTA
"0239","0239",ESTAMOS
"0258","0258",CORRIENTE DE PENSAMIENTO BONAERENSE
"0262","0262",EL MOVIMIENTO
"0268","0268",BUENOS AIRES PRIMERO (BAP)
"0276","0276",MOVIMIENTO DE AVANZADA SOCIALISTA
"0297","0297",FRENTE H.A.C.E.R. POR PROGRESO SOCIAL
"0298","0298",TODOS POR BUENOS AIRES
"0304","0304",FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES
"0309","0309",MOVIMIENTO ORGANIZACION DEMOCRATICA
"0311","0311",CONFIANZA PUBLICA
"0317","0317",VOCACION SOCIAL
"0318","0318",LIBER.AR
"0319","0319",UNIDAD SOCIAL
"0321","0321",LABORISTA
"0323","0323",JUSTICIA Y DIGNIDAD PATRIOTICA
"0324","0324",ESPERANZA DEL PUEBLO
"0328","0328",CONSTRUYENDO PORVENIR
"0329","0329",PRINCIPIOS Y VALORES
"0333","0333",LIBERTARIO
"0343","0343",MOVIMIENTO DE JUBILADOS Y JUVENTUD
"0345","0345",REPUBLICANOS UNIDOS
"0347","0347",APTITUD RENOVADORA
"0350","0350",LA IZQUIERDA EN LA CIUDAD
"0351","0351",PRINCIPIOS Y VALORES
"0419","0419",MOVIMIENTO INTEGRADOR SANTARROSEÑO
"0421","0421",COMPROMISO CON VOX
"0465","0465",UNIDOS POR LONDRES
"0501","0501",LA LIBERTAD AVANZA
"0502","0502",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0503","0503",UNION POR LA PATRIA
"0504","0504",JUNTOS POR EL CAMBIO
"0505","0505",HACEMOS POR NUESTRO PAÍS
"0506","0506",NUEVA UNION CELESTE
"0507","0507",AUTENTICOS LIBERALES CATAMARCA
"0508","0508",CAMBIA JUJUY
"0509","0509",CAMBIA MENDOZA
"0510","0510",CAMBIA SANTA CRUZ
"0511","0511",ECO + VAMOS CORRIENTES
"0512","0512",FRENTE AMPLIO POR LA SOBERANIA
"0513","0513",FRENTE CIVICO POR SANTIAGO
"0514","0514",FRENTE JUNTOS POR EL CAMBIO
"0515","0515",FRENTE RENOVADOR DE LA CONCORDIA - INNOVACION FEDERAL
"0516","0516",JUNTOS POR EL CAMBIO CHUBUT
"0517","0517",JUNTOS POR ENTRE RIOS
"0518","0518",JUNTOS SOMOS RIO NEGRO
"0519","0519",LA FUERZA DE SANTA FE
"0520","0520",LIBRES Y SOCIALISTAS
"0522","0522",MAS PARA ENTRE RIOS
"0523","0523",NUEVO RUMBO
"0524","0524",POR SANTA CRUZ
"0525","0525",PRINCIPIOS Y VALORES
"0526","0526",UNION POR SAN LUIS
"0528","0528",POR UNA CATAMARCA MEJOR
"0531","0531",CONSTRUIMOS FRAY MAMERTO ESQUIU
"0532","0532",LA LIBERTAD PRIMERO
"0533","0533",JUNTOS POR EL CAMBIO TDF
"0534","0534",CELESTE PROVIDA
"0535","0535",PODEMOS SANTA ROSA
"0536","0536",SAUJIL AVANZA
"0537","0537",PARTIDO DE INTEGRACION COMUNITARIA
"0544","0544",FTE DE IZQ. Y DE TRABAJADORES - UNIDAD
"0554","0554",ALIANZA UNION POR LA PATRIA
"0604","0604",PARTICIPACION POPULAR
"0642","0642",INTEGRACION CIUDADANA
"0697","0697",ACCION POR VILLARINO
"0701","0701",CAMBIA SANTA CRUZ
"0702","0702",UNION POR LA PATRIA
"0703","0703",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0704","0704",POR SANTA CRUZ
"0858","0858",TODOS POR SAAVEDRA
"0868","0868",PRIMERO LOBOS
"0869","0869",AGRUPACION COMUNAL TRANSFORMADORA
"0894","0894",ENCUENTRO VECINAL GENERAL RODRIGUEZ
"0895","0895",NUEVA NECOCHEA
"0903","0903",PRIMERO CHIVILCOY
"0911","0911",PERONENSES PRIMERO
"0915","0915",ACCION VECINAL GRAL VILLEGAS
"0921","0921",AUTONOMISTA
"0922","0922",AGRUPACION VECINAL PUEBLA LA COSTA
"0927","0927",PRIMERO DOLORES
"0929","0929",SUIPACHA DESPIERTA
"0933","0933",CRECER
"0934","0934",LA TRADICION LOBOS
"0935","0935",LINCOLN ES FUTURO
"0936","0936",CRECIENDO JUNTOS
"0941","0941",VECINOS UNIDOS POR LUJAN
"0942","0942",JUAREZ RENACE
"0944","0944",BARADERO 400 AÑOS
"0947","0947",MARCOS PAZ TIENE FUTURO
"0948","0948",UNIDOS POR CASARES
"0949","0949",NAVARRO RENACE
"0951","0951",VECINALISMO POR BRANDSEN
"0952","0952",AGRUPACION VECINAL 24 DE OCTUBRE
"0956","0956",PRIMERO SAN NICOLAS
"0961","0961",TRES DE FEBRERO EN ACCION
"0962","0962",PRIMERO ROSALES
"0965","0965",ESPACIO DE PENSAMIENTO Y ACCION -EPA-
"0970","0970",DE COSTA A COSTA
2103,2103,ALIANZA ENCUENTRO MARPLATENSE
"0000","0000",Votos no positivos
