cod_distrito,cod_seccion,cod_circuito,cod_categoria,cod_tipo_voto,cod_agrupacion_int,cod_lista,votos
"01","001","00011","01",p,"0024","0530",326
"01","001","00011","01",p,"0003","0034",290
"01","001","00011","01",b,"0000","0000",273
"01","001","00011","01",p,"0001","0032",95
"01","001","00011","01",p,"0007","0001",89
"01","001","00011","01",n,"0000","0000",63
"01","001","00011","01",p,"0002","0033",25
"01","001","00011","01",p,"0011","0466",9
"01","001","00011","01",r,"0000","0000",8
"01","001","00011","01",p,"0015","0501",6
"01","001","00011","01",i,"0000","0000","0"
"01","001","00012","01",p,"0004","0127",3181
"01","001","00012","01",p,"0005","0301",2880
"01","001","00012","01",p,"0006","0302",576
"01","001","00012","01",p,"0003","0034",294
"01","001","00012","01",b,"0000","0000",273
"01","001","00012","01",p,"0024","0530",273
"01","001","00012","01",p,"0001","0032",120
"01","001","00012","01",p,"0007","0001",85
"01","001","00012","01",n,"0000","0000",45
"01","001","00012","01",p,"0002","0033",29
"01","001","00012","01",p,"0015","0501",12
"01","001","00012","01",p,"0011","0466",8
"01","001","00012","01",i,"0000","0000",1
"01","001","00012","01",r,"0000","0000",1
"01","001","00013","01",p,"0004","0127",3451
"01","001","00013","01",p,"0005","0301",3347
"01","001","00013","01",p,"0006","0302",754
"01","001","00013","01",p,"0003","0034",406
"01","001","00013","01",p,"0024","0530",318
"01","001","00013","01",b,"0000","0000",271
"01","001","00013","01",p,"0001","0032",100
"01","001","00013","01",p,"0007","0001",96
"01","001","00013","01",n,"0000","0000",82
"01","001","00013","01",p,"0002","0033",43
"01","001","00013","01",p,"0015","0501",17
"01","001","00013","01",p,"0011","0466",16
"01","001","00013","01",r,"0000","0000",7
"01","001","00013","01",i,"0000","0000","0"
"01","001","00014","01",p,"0004","0127",1501
"01","001","00014","01",p,"0005","0301",1259
"01","001","00014","01",p,"0006","0302",249
"01","001","00014","01",p,"0024","0530",128
"01","001","00014","01",p,"0003","0034",126
"01","001","00014","01",b,"0000","0000",108
"01","001","00014","01",p,"0001","0032",55
"01","001","00014","01",n,"0000","0000",36
"01","001","00014","01",p,"0007","0001",32
"01","001","00014","01",p,"0002","0033",24
"01","001","00014","01",p,"0011","0466",6
"01","001","00014","01",p,"0015","0501",3
"01","001","00014","01",r,"0000","0000",1
"01","001","00014","01",i,"0000","0000","0"
"01","001","00015","01",p,"0005","0301",2541
"01","001","00015","01",p,"0004","0127",2021
"01","001","00015","01",p,"0006","0302",428
"01","001","00015","01",p,"0003","0034",259
"01","001","00015","01",b,"0000","0000",174
"01","001","00015","01",p,"0024","0530",166
"01","001","00015","01",p,"0001","0032",71
"01","001","00015","01",p,"0007","0001",66
"01","001","00015","01",n,"0000","0000",53
"01","001","00015","01",p,"0002","0033",23
"01","001","00015","01",p,"0015","0501",8
"01","001","00015","01",p,"0011","0466",5
"01","001","00015","01",r,"0000","0000",4
"01","001","00015","01",i,"0000","0000","0"
"01","001","00016","01",p,"0005","0301",2397
"01","001","00016","01",p,"0004","0127",2196
"01","001","00016","01",p,"0006","0302",458
"01","001","00016","01",p,"0003","0034",287
"01","001","00016","01",b,"0000","0000",209
"01","001","00016","01",p,"0024","0530",178
"01","001","00016","01",p,"0007","0001",79
"01","001","00016","01",p,"0001","0032",64
"01","001","00016","01",n,"0000","0000",55
"01","001","00016","01",p,"0002","0033",22
"01","001","00016","01",p,"0011","0466",8
"01","001","00016","01",p,"0015","0501",6
"01","001","00016","01",i,"0000","0000","0"
"01","001","00016","01",r,"0000","0000","0"
"01","001","00017","01",p,"0005","0301",3681
"01","001","00017","01",p,"0004","0127",3108
"01","001","00017","01",p,"0006","0302",657
"01","001","00017","01",p,"0003","0034",391
"01","001","00017","01",b,"0000","0000",297
"01","001","00017","01",p,"0024","0530",280
"01","001","00017","01",p,"0007","0001",131
"01","001","00017","01",n,"0000","0000",97
"01","001","00017","01",p,"0001","0032",88
"01","001","00017","01",p,"0002","0033",26
"01","001","00017","01",p,"0015","0501",13
"01","001","00017","01",p,"0011","0466",12
"01","001","00017","01",r,"0000","0000",7
"01","001","00017","01",i,"0000","0000","0"
"01","001","00018","01",p,"0005","0301",2172
"01","001","00018","01",p,"0004","0127",1582
"01","001","00018","01",p,"0006","0302",405
"01","001","00018","01",p,"0003","0034",219
"01","001","00018","01",p,"0024","0530",165
"01","001","00018","01",b,"0000","0000",155
"01","001","00018","01",p,"0001","0032",66
"01","001","00018","01",p,"0007","0001",57
"01","001","00018","01",n,"0000","0000",38
"01","001","00018","01",p,"0002","0033",22
"01","001","00018","01",p,"0015","0501",22
"01","001","00018","01",p,"0011","0466",11
"01","001","00018","01",i,"0000","0000",2
"01","001","00018","01",r,"0000","0000",2
"01","001","00019","01",p,"0005","0301",3638
"01","001","00019","01",p,"0004","0127",2555
"01","001","00019","01",p,"0006","0302",571
"01","001","00019","01",p,"0003","0034",350
"01","001","00019","01",b,"0000","0000",237
"01","001","00019","01",p,"0024","0530",237
"01","001","00019","01",p,"0001","0032",92
"01","001","00019","01",p,"0007","0001",72
"01","001","00019","01",n,"0000","0000",67
"01","001","00019","01",p,"0002","0033",33
"01","001","00019","01",p,"0015","0501",18
"01","001","00019","01",p,"0011","0466",15
"01","001","00019","01",r,"0000","0000",8
"01","001","00019","01",i,"0000","0000",2
"01","002","00020","01",p,"0004","0127",4656
"01","002","00020","01",p,"0005","0301",1433
"01","002","00020","01",p,"0006","0302",332
"01","002","00020","01",p,"0024","0530",242
"01","002","00020","01",b,"0000","0000",154
"01","002","00020","01",p,"0003","0034",131
"01","002","00020","01",p,"0001","0032",103
"01","002","00020","01",n,"0000","0000",48
"01","002","00020","01",p,"0007","0001",42
"01","002","00020","01",p,"0002","0033",12
"01","002","00020","01",r,"0000","0000",10
"01","002","00020","01",p,"0015","0501",4
"01","002","00020","01",p,"0011","0466",3
"01","002","00020","01",i,"0000","0000",2
"01","002","00021","01",p,"0004","0127",6176
"01","002","00021","01",p,"0005","0301",790
"01","002","00021","01",p,"0006","0302",301
"01","002","00021","01",p,"0024","0530",260
"01","002","00021","01",p,"0001","0032",186
"01","002","00021","01",b,"0000","0000",154
"01","002","00021","01",p,"0003","0034",115
"01","002","00021","01",n,"0000","0000",41
"01","002","00021","01",p,"0007","0001",37
"01","002","00021","01",p,"0002","0033",15
"01","002","00021","01",p,"0015","0501",6
"01","002","00021","01",p,"0011","0466",3
"01","002","00021","01",r,"0000","0000",1
"01","002","00021","01",i,"0000","0000","0"
"01","002","00022","01",p,"0004","0127",7211
"01","002","00022","01",p,"0005","0301",2362
"01","002","00022","01",p,"0006","0302",866
"01","002","00022","01",p,"0024","0530",435
"01","002","00022","01",p,"0003","0034",342
"01","002","00022","01",b,"0000","0000",299
"01","002","00022","01",p,"0001","0032",146
"01","002","00022","01",p,"0007","0001",103
"01","002","00022","01",n,"0000","0000",79
"01","002","00022","01",p,"0002","0033",11
"01","002","00022","01",p,"0011","0466",9
"01","002","00022","01",i,"0000","0000",7
"01","002","00022","01",p,"0015","0501",6
"01","002","00022","01",r,"0000","0000",4
"01","002","00023","01",p,"0004","0127",9003
"01","002","00023","01",p,"0005","0301",2937
"01","002","00023","01",p,"0006","0302",1044
"01","002","00023","01",p,"0024","0530",520
"01","002","00023","01",p,"0003","0034",386
"01","002","00023","01",b,"0000","0000",340
"01","002","00023","01",p,"0001","0032",222
"01","002","00023","01",p,"0007","0001",124
"01","002","00023","01",n,"0000","0000",116
"01","002","00023","01",p,"0002","0033",35
"01","002","00023","01",p,"0011","0466",12
"01","002","00023","01",r,"0000","0000",11
"01","002","00023","01",p,"0015","0501",10
"01","002","00023","01",i,"0000","0000",4
"01","002","00024","01",p,"0004","0127",6371
"01","002","00024","01",p,"0005","0301",1565
"01","002","00024","01",p,"0006","0302",589
"01","002","00024","01",p,"0024","0530",310
"01","002","00024","01",p,"0001","0032",251
"01","002","00024","01",b,"0000","0000",242
"01","002","00024","01",p,"0003","0034",222
"01","002","00024","01",p,"0007","0001",77
"01","002","00024","01",n,"0000","0000",58
"01","002","00024","01",p,"0002","0033",9
"01","002","00024","01",p,"0015","0501",7
"01","002","00024","01",r,"0000","0000",7
"01","002","00024","01",p,"0011","0466",6
"01","002","00024","01",i,"0000","0000",4
"01","002","00025","01",p,"0004","0127",6529
"01","002","00025","01",p,"0005","0301",1311
"01","002","00025","01",p,"0006","0302",477
"01","002","00025","01",p,"0024","0530",313
"01","002","00025","01",b,"0000","0000",221
"01","002","00025","01",p,"0001","0032",215
"01","002","00025","01",p,"0003","0034",175
"01","002","00025","01",p,"0007","0001",67
"01","002","00025","01",n,"0000","0000",54
"01","002","00025","01",p,"0002","0033",21
"01","002","00025","01",p,"0015","0501",6
"01","002","00025","01",p,"0011","0466",3
"01","002","00025","01",r,"0000","0000",3
"01","002","00025","01",i,"0000","0000",1
"01","002","00026","01",p,"0004","0127",8703
"01","002","00026","01",p,"0005","0301",1560
"01","002","00026","01",p,"0006","0302",653
"01","002","00026","01",p,"0024","0530",418
"01","002","00026","01",p,"0001","0032",322
"01","002","00026","01",b,"0000","0000",234
"01","002","00026","01",p,"0003","0034",190
"01","002","00026","01",n,"0000","0000",82
"01","002","00026","01",p,"0007","0001",71
"01","002","00026","01",p,"0002","0033",18
"01","002","00026","01",p,"0015","0501",6
"01","002","00026","01",p,"0011","0466",4
"01","002","00026","01",i,"0000","0000",1
"01","002","00026","01",r,"0000","0000","0"
"01","002","00027","01",p,"0004","0127",5223
"01","002","00027","01",p,"0005","0301",1995
"01","002","00027","01",p,"0006","0302",674
"01","002","00027","01",p,"0024","0530",342
"01","002","00027","01",b,"0000","0000",262
"01","002","00027","01",p,"0003","0034",261
"01","002","00027","01",p,"0001","0032",174
"01","002","00027","01",n,"0000","0000",93
"01","002","00027","01",p,"0007","0001",87
"01","002","00027","01",p,"0002","0033",24
"01","002","00027","01",p,"0011","0466",15
"01","002","00027","01",p,"0015","0501",10
"01","002","00027","01",i,"0000","0000","0"
"01","002","00027","01",r,"0000","0000","0"
"01","002","00028","01",p,"0004","0127",7062
"01","002","00028","01",p,"0005","0301",3443
"01","002","00028","01",p,"0006","0302",993
"01","002","00028","01",p,"0003","0034",488
"01","002","00028","01",p,"0024","0530",480
"01","002","00028","01",b,"0000","0000",353
"01","002","00028","01",p,"0001","0032",132
"01","002","00028","01",p,"0007","0001",131
"01","002","00028","01",n,"0000","0000",112
"01","002","00028","01",p,"0002","0033",23
"01","002","00028","01",p,"0011","0466",7
"01","002","00028","01",p,"0015","0501",6
"01","002","00028","01",r,"0000","0000",2
"01","002","00028","01",i,"0000","0000","0"
"01","002","00029","01",p,"0004","0127",4585
"01","002","00029","01",p,"0005","0301",2219
"01","002","00029","01",p,"0006","0302",675
"01","002","00029","01",p,"0003","0034",310
"01","002","00029","01",p,"0024","0530",307
"01","002","00029","01",b,"0000","0000",234
"01","002","00029","01",p,"0007","0001",101
"01","002","00029","01",p,"0001","0032",90
"01","002","00029","01",n,"0000","0000",73
"01","002","00029","01",p,"0011","0466",11
"01","002","00029","01",p,"0002","0033",10
"01","002","00029","01",p,"0015","0501",7
"01","002","00029","01",i,"0000","0000",2
"01","002","00029","01",r,"0000","0000",1
"01","003","00030","01",p,"0004","0127",3734
"01","003","00030","01",p,"0005","0301",2435
"01","003","00030","01",p,"0006","0302",717
"01","003","00030","01",p,"0003","0034",307
"01","003","00030","01",b,"0000","0000",270
"01","003","00030","01",p,"0024","0530",248
"01","003","00030","01",n,"0000","0000",98
"01","003","00030","01",p,"0007","0001",81
"01","003","00030","01",p,"0001","0032",68
"01","003","00030","01",p,"0002","0033",17
"01","003","00030","01",p,"0011","0466",13
"01","003","00030","01",p,"0015","0501",7
"01","003","00030","01",r,"0000","0000",1
"01","003","00030","01",i,"0000","0000","0"
"01","003","00031","01",p,"0004","0127",4178
"01","003","00031","01",p,"0005","0301",2717
"01","003","00031","01",p,"0006","0302",720
"01","003","00031","01",p,"0003","0034",342
"01","003","00031","01",p,"0024","0530",311
"01","003","00031","01",b,"0000","0000",269
"01","003","00031","01",p,"0001","0032",118
"01","003","00031","01",n,"0000","0000",104
"01","003","00031","01",p,"0007","0001",75
"01","003","00031","01",p,"0002","0033",25
"01","003","00031","01",p,"0011","0466",17
"01","003","00031","01",p,"0015","0501",8
"01","003","00031","01",r,"0000","0000",1
"01","003","00031","01",i,"0000","0000","0"
"01","003","00032","01",p,"0004","0127",3504
"01","003","00032","01",p,"0005","0301",2558
"01","003","00032","01",p,"0006","0302",643
"01","003","00032","01",p,"0003","0034",328
"01","003","00032","01",p,"0024","0530",272
"01","003","00032","01",b,"0000","0000",266
"01","003","00032","01",p,"0001","0032",143
"01","003","00032","01",p,"0007","0001",118
"01","003","00032","01",n,"0000","0000",96
"01","003","00032","01",p,"0002","0033",25
"01","003","00032","01",p,"0015","0501",10
"01","003","00032","01",p,"0011","0466",7
"01","003","00032","01",r,"0000","0000",1
"01","003","00032","01",i,"0000","0000","0"
"01","003","00033","01",p,"0004","0127",2723
"01","003","00033","01",p,"0005","0301",2221
"01","003","00033","01",p,"0006","0302",532
"01","003","00033","01",p,"0003","0034",290
"01","003","00033","01",b,"0000","0000",240
"01","003","00033","01",p,"0024","0530",213
"01","003","00033","01",p,"0007","0001",78
"01","003","00033","01",n,"0000","0000",73
"01","003","00033","01",p,"0001","0032",65
"01","003","00033","01",p,"0002","0033",18
"01","003","00033","01",p,"0011","0466",13
"01","003","00033","01",p,"0015","0501",10
"01","003","00033","01",r,"0000","0000",1
"01","003","00033","01",i,"0000","0000","0"
"01","003","00034","01",p,"0004","0127",4217
"01","003","00034","01",p,"0005","0301",3451
"01","003","00034","01",p,"0006","0302",815
"01","003","00034","01",p,"0003","0034",404
"01","003","00034","01",p,"0024","0530",399
"01","003","00034","01",b,"0000","0000",328
"01","003","00034","01",p,"0001","0032",120
"01","003","00034","01",n,"0000","0000",114
"01","003","00034","01",p,"0007","0001",95
"01","003","00034","01",p,"0002","0033",43
"01","003","00034","01",p,"0015","0501",15
"01","003","00034","01",p,"0011","0466",12
"01","003","00034","01",r,"0000","0000",4
"01","003","00034","01",i,"0000","0000","0"
"01","003","00035","01",p,"0005","0301",3672
"01","003","00035","01",p,"0004","0127",3444
"01","003","00035","01",p,"0006","0302",799
"01","003","00035","01",p,"0003","0034",435
"01","003","00035","01",b,"0000","0000",283
"01","003","00035","01",p,"0024","0530",273
"01","003","00035","01",p,"0001","0032",136
"01","003","00035","01",n,"0000","0000",107
"01","003","00035","01",p,"0007","0001",102
"01","003","00035","01",p,"0002","0033",37
"01","003","00035","01",p,"0015","0501",18
"01","003","00035","01",p,"0011","0466",11
"01","003","00035","01",r,"0000","0000",3
"01","003","00035","01",i,"0000","0000","0"
"01","003","00036","01",p,"0005","0301",2722
"01","003","00036","01",p,"0004","0127",1998
"01","003","00036","01",p,"0006","0302",523
"01","003","00036","01",p,"0003","0034",322
"01","003","00036","01",b,"0000","0000",212
"01","003","00036","01",p,"0024","0530",203
"01","003","00036","01",p,"0001","0032",82
"01","003","00036","01",p,"0007","0001",78
"01","003","00036","01",n,"0000","0000",65
"01","003","00036","01",p,"0002","0033",20
"01","003","00036","01",p,"0011","0466",11
"01","003","00036","01",p,"0015","0501",5
"01","003","00036","01",r,"0000","0000",1
"01","003","00036","01",i,"0000","0000","0"
"01","003","00037","01",p,"0005","0301",3270
"01","003","00037","01",p,"0004","0127",3056
"01","003","00037","01",p,"0006","0302",695
"01","003","00037","01",p,"0003","0034",368
"01","003","00037","01",p,"0024","0530",289
"01","003","00037","01",b,"0000","0000",259
"01","003","00037","01",p,"0007","0001",101
"01","003","00037","01",p,"0001","0032",93
"01","003","00037","01",n,"0000","0000",86
"01","003","00037","01",p,"0002","0033",31
"01","003","00037","01",p,"0011","0466",8
"01","003","00037","01",p,"0015","0501",6
"01","003","00037","01",r,"0000","0000",2
"01","003","00037","01",i,"0000","0000","0"
"01","003","00038","01",p,"0005","0301",3546
"01","003","00038","01",p,"0004","0127",3502
"01","003","00038","01",p,"0006","0302",722
"01","003","00038","01",p,"0003","0034",382
"01","003","00038","01",p,"0024","0530",326
"01","003","00038","01",b,"0000","0000",275
"01","003","00038","01",p,"0007","0001",119
"01","003","00038","01",p,"0001","0032",103
"01","003","00038","01",n,"0000","0000",75
"01","003","00038","01",p,"0002","0033",42
"01","003","00038","01",p,"0011","0466",11
"01","003","00038","01",p,"0015","0501",11
"01","003","00038","01",r,"0000","0000",1
"01","003","00038","01",i,"0000","0000","0"
"01","003","00039","01",p,"0004","0127",3779
"01","003","00039","01",p,"0005","0301",3590
"01","003","00039","01",p,"0006","0302",725
"01","003","00039","01",p,"0003","0034",419
"01","003","00039","01",p,"0024","0530",364
"01","003","00039","01",b,"0000","0000",313
"01","003","00039","01",p,"0001","0032",117
"01","003","00039","01",p,"0007","0001",114
"01","003","00039","01",n,"0000","0000",105
"01","003","00039","01",p,"0002","0033",38
"01","003","00039","01",p,"0011","0466",10
"01","003","00039","01",p,"0015","0501",10
"01","003","00039","01",i,"0000","0000","0"
"01","003","00039","01",r,"0000","0000","0"
"01","003","00040","01",p,"0004","0127",2919
"01","003","00040","01",p,"0005","0301",2726
"01","003","00040","01",p,"0006","0302",609
"01","003","00040","01",p,"0003","0034",314
"01","003","00040","01",p,"0024","0530",264
"01","003","00040","01",b,"0000","0000",241
"01","003","00040","01",p,"0007","0001",99
"01","003","00040","01",n,"0000","0000",81
"01","003","00040","01",p,"0001","0032",75
"01","003","00040","01",p,"0002","0033",20
"01","003","00040","01",p,"0015","0501",10
"01","003","00040","01",p,"0011","0466",7
"01","003","00040","01",r,"0000","0000",5
"01","003","00040","01",i,"0000","0000","0"
"01","003","00041","01",p,"0005","0301",5548
"01","003","00041","01",p,"0004","0127",4833
"01","003","00041","01",p,"0006","0302",1133
"01","003","00041","01",p,"0003","0034",676
"01","003","00041","01",p,"0024","0530",478
"01","003","00041","01",b,"0000","0000",476
"01","003","00041","01",p,"0007","0001",171
"01","003","00041","01",p,"0001","0032",166
"01","003","00041","01",n,"0000","0000",156
"01","003","00041","01",p,"0011","0466",58
"01","003","00041","01",p,"0002","0033",41
"01","003","00041","01",p,"0015","0501",20
"01","003","00041","01",i,"0000","0000",6
"01","003","00041","01",r,"0000","0000",3
"01","003","00042","01",p,"0005","0301",4683
"01","003","00042","01",p,"0004","0127",4615
"01","003","00042","01",p,"0006","0302",1052
"01","003","00042","01",p,"0003","0034",537
"01","003","00042","01",p,"0024","0530",411
"01","003","00042","01",b,"0000","0000",358
"01","003","00042","01",p,"0007","0001",149
"01","003","00042","01",n,"0000","0000",139
"01","003","00042","01",p,"0001","0032",133
"01","003","00042","01",p,"0002","0033",45
"01","003","00042","01",p,"0015","0501",15
"01","003","00042","01",p,"0011","0466",11
"01","003","00042","01",r,"0000","0000",2
"01","003","00042","01",i,"0000","0000",1
"01","004","00043","01",p,"0005","0301",3609
"01","004","00043","01",p,"0004","0127",3324
"01","004","00043","01",p,"0006","0302",822
"01","004","00043","01",p,"0003","0034",436
"01","004","00043","01",p,"0024","0530",337
"01","004","00043","01",b,"0000","0000",334
"01","004","00043","01",p,"0001","0032",116
"01","004","00043","01",p,"0007","0001",102
"01","004","00043","01",n,"0000","0000",96
"01","004","00043","01",p,"0002","0033",28
"01","004","00043","01",p,"0015","0501",12
"01","004","00043","01",p,"0011","0466",5
"01","004","00043","01",r,"0000","0000",1
"01","004","00043","01",i,"0000","0000","0"
"01","004","00044","01",p,"0005","0301",2825
"01","004","00044","01",p,"0004","0127",2670
"01","004","00044","01",p,"0006","0302",673
"01","004","00044","01",p,"0003","0034",351
"01","004","00044","01",p,"0024","0530",261
"01","004","00044","01",b,"0000","0000",238
"01","004","00044","01",n,"0000","0000",99
"01","004","00044","01",p,"0007","0001",81
"01","004","00044","01",p,"0001","0032",56
"01","004","00044","01",p,"0002","0033",21
"01","004","00044","01",p,"0011","0466",13
"01","004","00044","01",p,"0015","0501",8
"01","004","00044","01",i,"0000","0000","0"
"01","004","00044","01",r,"0000","0000","0"
"01","004","00045","01",p,"0005","0301",2313
"01","004","00045","01",p,"0004","0127",1837
"01","004","00045","01",p,"0006","0302",349
"01","004","00045","01",p,"0003","0034",248
"01","004","00045","01",b,"0000","0000",235
"01","004","00045","01",p,"0024","0530",171
"01","004","00045","01",n,"0000","0000",57
"01","004","00045","01",p,"0001","0032",54
"01","004","00045","01",p,"0007","0001",48
"01","004","00045","01",p,"0002","0033",20
"01","004","00045","01",p,"0015","0501",12
"01","004","00045","01",p,"0011","0466",8
"01","004","00045","01",r,"0000","0000",2
"01","004","00045","01",i,"0000","0000","0"
"01","004","00046","01",p,"0005","0301",2108
"01","004","00046","01",p,"0004","0127",1625
"01","004","00046","01",p,"0006","0302",377
"01","004","00046","01",p,"0003","0034",223
"01","004","00046","01",b,"0000","0000",207
"01","004","00046","01",p,"0024","0530",165
"01","004","00046","01",p,"0001","0032",57
"01","004","00046","01",p,"0007","0001",54
"01","004","00046","01",n,"0000","0000",45
"01","004","00046","01",p,"0002","0033",17
"01","004","00046","01",p,"0015","0501",8
"01","004","00046","01",p,"0011","0466",7
"01","004","00046","01",r,"0000","0000",1
"01","004","00046","01",i,"0000","0000","0"
"01","004","00047","01",p,"0005","0301",7324
"01","004","00047","01",p,"0004","0127",1747
"01","004","00047","01",b,"0000","0000",821
"01","004","00047","01",p,"0006","0302",498
"01","004","00047","01",p,"0003","0034",339
"01","004","00047","01",p,"0024","0530",137
"01","004","00047","01",p,"0001","0032",133
"01","004","00047","01",n,"0000","0000",97
"01","004","00047","01",p,"0007","0001",46
"01","004","00047","01",p,"0002","0033",26
"01","004","00047","01",p,"0011","0466",15
"01","004","00047","01",p,"0015","0501",10
"01","004","00047","01",i,"0000","0000",6
"01","004","00047","01",r,"0000","0000","0"
"01","004","00048","01",p,"0004","0127",4186
"01","004","00048","01",p,"0005","0301",3775
"01","004","00048","01",p,"0006","0302",862
"01","004","00048","01",p,"0003","0034",420
"01","004","00048","01",b,"0000","0000",339
"01","004","00048","01",p,"0024","0530",335
"01","004","00048","01",p,"0007","0001",121
"01","004","00048","01",p,"0001","0032",108
"01","004","00048","01",n,"0000","0000",93
"01","004","00048","01",p,"0002","0033",34
