cod_distrito,cod_seccion,cod_circuito,cod_categoria,cod_tipo_voto,cod_agrupacion_int,cod_lista,votos
"01","001","00001","01",p,"0004","0236",3440
"01","001","00001","01",p,"0003","0090",3292
"01","001","00001","01",p,"0005","0238",417
"01","001","00001","01",p,"0002","0003",282
"01","001","00001","01",p,"0012","0352",146
"01","001","00001","01",b,"0000","0000",114
"01","001","00001","01",p,"0001","0001",49
"01","001","00001","01",n,"0000","0000",42
"01","001","00001","01",i,"0000","0000","0"
"01","001","00001","01",r,"0000","0000","0"
"01","001","00002","01",p,"0004","0236",3306
"01","001","00002","01",p,"0003","0090",2830
"01","001","00002","01",p,"0005","0238",360
"01","001","00002","01",p,"0002","0003",262
"01","001","00002","01",p,"0012","0352",135
"01","001","00002","01",b,"0000","0000",112
"01","001","00002","01",n,"0000","0000",66
"01","001","00002","01",p,"0001","0001",59
"01","001","00002","01",r,"0000","0000",2
"01","001","00002","01",i,"0000","0000",2
"01","001","00003","01",p,"0003","0090",2811
"01","001","00003","01",p,"0004","0236",572
"01","001","00003","01",p,"0005","0238",126
"01","001","00003","01",p,"0012","0352",52
"01","001","00003","01",b,"0000","0000",33
"01","001","00003","01",p,"0002","0003",31
"01","001","00003","01",p,"0001","0001",5
"01","001","00003","01",n,"0000","0000",3
"01","001","00003","01",i,"0000","0000",1
"01","001","00003","01",r,"0000","0000","0"
"01","001","00005","01",p,"0004","0236",3925
"01","001","00005","01",p,"0003","0090",1077
"01","001","00005","01",b,"0000","0000",237
"01","001","00005","01",p,"0005","0238",184
"01","001","00005","01",p,"0002","0003",151
"01","001","00005","01",p,"0012","0352",81
"01","001","00005","01",n,"0000","0000",76
"01","001","00005","01",p,"0001","0001",62
"01","001","00005","01",r,"0000","0000",4
"01","001","00005","01",i,"0000","0000",1
"01","001","00006","01",p,"0003","0090",9635
"01","001","00006","01",p,"0004","0236",1314
"01","001","00006","01",p,"0005","0238",308
"01","001","00006","01",p,"0012","0352",113
"01","001","00006","01",p,"0002","0003",109
"01","001","00006","01",b,"0000","0000",107
"01","001","00006","01",p,"0001","0001",67
"01","001","00006","01",n,"0000","0000",33
"01","001","00006","01",r,"0000","0000",3
"01","001","00006","01",i,"0000","0000",1
"01","001","00007","01",p,"0003","0090",4549
"01","001","00007","01",p,"0004","0236",1042
"01","001","00007","01",p,"0005","0238",229
"01","001","00007","01",p,"0002","0003",95
"01","001","00007","01",p,"0012","0352",72
"01","001","00007","01",b,"0000","0000",67
"01","001","00007","01",p,"0001","0001",53
"01","001","00007","01",n,"0000","0000",29
"01","001","00007","01",r,"0000","0000",3
"01","001","00007","01",i,"0000","0000","0"
"01","001","00008","01",p,"0003","0090",3932
"01","001","00008","01",p,"0004","0236",1447
"01","001","00008","01",p,"0005","0238",244
"01","001","00008","01",p,"0002","0003",128
"01","001","00008","01",b,"0000","0000",96
"01","001","00008","01",p,"0012","0352",95
"01","001","00008","01",p,"0001","0001",52
"01","001","00008","01",n,"0000","0000",33
"01","001","00008","01",r,"0000","0000",6
"01","001","00008","01",i,"0000","0000","0"
"01","001","00009","01",p,"0003","0090",4643
"01","001","00009","01",p,"0004","0236",2211
"01","001","00009","01",p,"0005","0238",382
"01","001","00009","01",p,"0012","0352",159
