cod_agrupacion_int,cod_agrupacion,nom_agrupacion
"0003","0003",UNION CIVICA RADICAL                                                                                
"0012","0012",COMUNISTA                                                                                           
"0013","0013",MOVIMIENTO AL SOCIALISMO                                                                            
"0023","0023",UNION POPULAR                                                                                       
"0030","0030",SOCIALISTA AUTENTICO                                                                                
"0038","0038",    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
"0040","0040",MOVIMIENTO LIBRES DEL SUR                                                                           
"0050","0050",SOCIALISTA                                                                                          
"0057","0057",MOVIMIENTO DE ACCION VECINAL                                                                        
"0060","0060",MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        
"0061","0061",IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 
"0063","0063",ES POSIBLE                                                                                          
"0065","0065",UNION CELESTE Y BLANCO                                                                              
"0068","0068",NUEVA IZQUIERDA                                                                                     
"0069","0069",GEN                                                                                                 
"0070","0070",DE TRABAJADORES POR EL SOCIALISMO                                                                   
"0071","0071",DEL OBRERO                                                                                          
"0072","0072",INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         
"0074","0074",PARTIDO DEL TRABAJO Y DEL PUEBLO                                                                    
"0076","0076",DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             
"0081","0081",PARTIDO POPULAR                                                                                     
"0103","0103",FRENTE DE IZQUIERDA Y LOS TRABAJADORES                                                              
"0131","0131",ALIANZA FRENTE PARA LA VICTORIA                                                                     
"0132","0132",ALIANZA PROGRESISTAS                                                                                
"0133","0133",ALIANZA COMPROMISO FEDERAL                                                                          
"0134","0134",MST - NUEVA IZQUIERDA                                                                               
"0135","0135",ALIANZA CAMBIEMOS                                                                                   
"0136","0136",ALIANZA FRENTE POPULAR                                                                              
"0137","0137",ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
"0138","0138",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
"0144","0144",MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                       
"0145","0145",CAMBIEMOS BUENOS AIRES                                                                              
"0151","0151",MOVIMIENTO POPULAR NEUQUINO                                                                         
"0152","0152",MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              
"0153","0153",CRUZADA RENOVADORA                                                                                  
"0154","0154",MOVIMIENTO POPULAR FUEGUINO                                                                         
"0155","0155",MOVIMIENTO UNION DEL PARTIDO DE PINAMAR                                                             
"0157","0157",DE ACCION CHUBUTENSE                                                                                
"0161","0161",OBRERO                                                                                              
"0165","0165",NUEVO OCTUBRE                                                                                       
"0169","0169",PROYECTO POPULAR                                                                                    
"0177","0177",PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA                                                       
"0179","0179",FRENTE CAMBIA JUJUY                                                                                 
"0180","0180",DEL CAMPO POPULAR                                                                                   
"0186","0186",AUTODETERMINACION Y LIBERTAD                                                                        
"0187","0187",SOCIAL PATAGONICO                                                                                   
"0188","0188",UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 
"0189","0189",PARTIDO CIUDADANOS A GOBERNAR                                                                       
"0190","0190",MOV.POL. SOCIAL Y CULTURAL PROYECTO SUR                                                             
"0194","0194",MOVIMIENTO VECINAL                                                                                  
"0198","0198",DE LOS TRABAJADORES SOCIALISTAS                                                                     
"0202","0202",FRENTE RENOVADOR AUTENTICO                                                                          
"0203","0203",INSTRUMENTO ELECTORAL                                                                               
"0208","0208",POR UN PUEBLO UNIDO                                                                                 
"0212","0212",PRINCIPIOS Y CONVICCION                                                                             
"0268","0268",MOV. AMPLIO DE TRAB. Y JUBILADOS-MATRAJU                                                            
"0298","0298",TODOS POR BUENOS AIRES                                                                              
"0301","0301",PATRIA GRANDE                                                                                       
"0302","0302",BANDERA VECINAL                                                                                     
"0333","0333",FUERZA ORG. RENOV. DEMOCRATICA                                                                      
"0427","0427",JUNTOS POR SAN JUAN                                                                                 
"0446","0446",AGR.MUNICIPAL DE LA INTRANSIGENCIA COLONENSE                                                        
"0484","0484",NUEVA ALTERNATIVA CARMEÑA                                                                           
